train set 1,train set 1 size,train set 2 size,language to,c0,c1,rmse,kfold rmse
bible,10,10,si,-4.278713484027311,-19.984490951870985,3.1327859609455966,19.077741312965827
bible,10,10,ta,-3.7260408185894622,-16.60619834924019,2.912824336897987,17.0831779157717
bible,10,25,ka,-10.909166186447548,-23.16045572215679,0.19003510656662792,0.7001400095807008
bible,10,25,gu,-4.506089204601815,-23.193785653879125,1.2555389982197662,3.917252052907275
bible,10,25,hi,-1.8249300877131147,-18.558542739545658,1.1597233684930175,4.2979219647640505
bible,10,25,si,-3.2551849671549635,-20.968417073718154,3.559210408918506,21.792181559333148
bible,10,25,ta,-3.1855501664917036,-17.5163438952292,2.6923345999565447,16.112322757833788
bible,10,50,hi,-1.5940210012352078,-19.355430505823946,0.5592905164187436,2.055348415153086
bible,10,50,si,-3.7728549561308733,-22.28735040403443,3.3610351070564186,20.516553014045872
bible,10,50,ta,-2.4964613575684,-18.113272901898767,2.3837314986547393,14.169247668135531
