train set 1,train set 2,train set 2 size,test set,language to,c0,c1,rmse,kfold rmse
gov,bible,10,gov,ta,6.546016765448598,-0.003379051571854746,0.5863792332854391,1.1557576807200518
gov,bible,25,flores,ka,2.432530020259723,0.009368121243973985,0.16527668853566804,0.7318372564801751
gov,bible,25,flores,gu,6.129670089507671,0.0031215715371111855,0.05445270976483674,0.19234064079001217
gov,bible,25,flores,hi,3.724133821780751,0.0009310395043542926,0.025436428174123643,0.0258858113817283
gov,bible,25,flores,si,2.340624882931979,0.0006743645928804389,0.10493499278277221,0.2419318308470547
gov,bible,25,flores,ta,2.627630580936179,0.0016697042624837777,0.09853912567254869,0.16317079262918785
gov,bible,25,bible,ka,27.72734929982389,0.002077662922405091,0.20800692252088637,0.7204340032918112
gov,bible,25,bible,gu,28.453823963333814,-6.004774986784722e-05,0.16912821816479728,0.5509499686731154
gov,bible,25,bible,hi,32.05634800086306,0.0003869780481082367,0.23982896004202275,0.5903496836205225
gov,bible,25,bible,si,37.939718777073686,0.0002261787868275505,0.1621781573793315,0.4047169297231348
gov,bible,25,bible,ta,31.095709065324307,0.0001555394915886946,0.16390707763774037,0.1979545055176381
gov,bible,25,gov,ka,1.8699299722687317,0.01727923109442019,0.20362446283815627,1.1283487389177056
gov,bible,25,gov,gu,10.638650874088036,-0.0044114370255378425,0.48390797147874837,1.3621951378952402
gov,bible,25,gov,hi,5.914784752387857,-0.003039338448426376,0.5696408684660367,1.0756740769943165
gov,bible,25,gov,si,6.641781345230213,-0.0032913312704793145,0.427808963458788,0.8898564890252996
gov,bible,25,gov,ta,7.505151660395171,-0.002811755751277102,0.5767036701123633,1.1979760985011996
bible,gov,1,flores,ka,3.1834659318965057,0.025239076761390967,0.8253817211577656,7.600817229409649
bible,gov,1,flores,gu,8.08766809757976,0.00501632596835331,0.14101761845797542,0.5227361207763154
bible,gov,1,flores,hi,6.93220312150216,0.0019773333235031214,0.16418629392686446,0.5867954958448036
bible,gov,1,flores,si,4.169945096693874,0.005599486895804158,0.0072631910119704355,0.026142169184458084
bible,gov,1,flores,ta,3.1840863593842212,0.0037593277846795546,0.0043505022023859015,0.015207861084929311
bible,gov,1,bible,ka,1.0395178838125618,0.02908352061926404,0.15861873419979786,1.1975908940323117
bible,gov,1,bible,gu,6.4756863632733035,-0.002314264217921851,0.16225471763456745,0.49108517309469374
bible,gov,1,bible,hi,6.158386567776741,-0.016299530528501482,0.4500479878332739,1.0086884856301948
bible,gov,1,bible,si,3.4677625685800773,-0.03479002553461024,0.4018270385820732,0.661126308615197
bible,gov,1,bible,ta,3.8920249693601354,-0.030387984409983356,0.3421891272906179,0.6210064529317706
bible,gov,1,gov,ka,13.015324800084732,0.016656286612568204,1.8517837848848349,10.951967803851034
bible,gov,1,gov,gu,21.873009825944596,0.0031738311684329115,0.15887613663330383,0.559821137082758
bible,gov,1,gov,hi,19.863018236830655,0.00084710208562884,0.022875327275373378,0.0763345923144936
bible,gov,1,gov,si,22.499717847348165,0.0029952440379405042,0.2982496585600689,1.0607359123221902
bible,gov,1,gov,ta,20.23516971422852,0.003182654075536786,0.22254044997471376,0.7902357602154851
bible,gov,10,flores,ka,10.542715525073046,0.007951211337678338,0.566189724516132,2.3754455236453453
bible,gov,10,flores,gu,16.553450851627307,0.0018764381383514122,0.09519808435873048,0.327490123713422
bible,gov,10,flores,hi,14.643918604368954,0.0005062359854467072,0.05844039789945436,0.19597584805697982
bible,gov,10,flores,si,9.282409562486603,0.0027718266737373526,0.10267164561664417,0.3464101615137404
bible,gov,10,flores,ta,7.037426026170886,0.0030159820311510773,0.17708612877671823,0.645573778232924
bible,gov,10,bible,ka,2.707356951528917,0.026270089071171995,0.3597819588984198,2.4661366983217117
bible,gov,10,bible,gu,10.042825037133474,0.006647365853215538,0.3362002934838458,1.3231281741561838
bible,gov,10,bible,hi,9.716842649538194,0.006552789544389314,0.5220536433823372,2.1402264369044857
bible,gov,10,bible,si,8.929158027473884,0.00449545975329297,0.18686963556484185,0.6917754995034782
bible,gov,10,bible,ta,7.736840142152554,0.0027566757804004006,0.176904420886332,0.6391833160530366
bible,gov,10,gov,ka,29.154179430640635,0.0023605753577573335,0.2502404826978985,0.8725818118132221
bible,gov,10,gov,gu,33.612701261253314,0.0007886166834296127,0.1581337920399923,0.5334575053706148
bible,gov,10,gov,hi,32.11897568573373,0.00029581827814785646,0.08156096942010675,0.26903195328329815
bible,gov,10,gov,si,41.251205027108256,0.0007660060241940591,0.09408434386188656,0.31572631588640165
bible,gov,10,gov,ta,33.957461135379084,0.000994185157976493,0.2168624311593327,0.7364863604812779
bible,gov,25,flores,ka,13.42992433344515,0.003609603226960076,0.19826674894461252,0.7143914190530503
bible,gov,25,flores,gu,18.94653524691153,0.0008148709088462878,0.0703864713007857,0.2370711563066911
bible,gov,25,flores,hi,16.740922152072535,0.0007855956692385384,0.052161245088211614,0.1732050807559159
bible,gov,25,flores,si,10.924528342644656,0.002301175795543851,0.056454131401167285,0.19128137090603684
bible,gov,25,flores,ta,8.898991230102288,0.003328872872094326,0.14323503212600877,0.5151574133518881
bible,gov,25,bible,ka,3.115893449967729,0.020582555764740287,0.571078809626948,3.986644306024962
bible,gov,25,bible,gu,10.313083826291841,0.008315529989394712,0.4278235197511206,1.7599872847887268
bible,gov,25,bible,hi,9.786888266447257,0.008913528559035143,0.5062867572255437,2.1494283669011365
bible,gov,25,bible,si,10.118057199237493,0.00796459315804897,0.536142009653106,2.2464794835886064
bible,gov,25,bible,ta,8.266452812352219,0.00747260892130748,0.13853645136847742,0.5339442428803773
bible,gov,25,gov,ka,33.92656497547133,0.0005862782999570502,0.05285928178974698,0.17661797062778828
bible,gov,25,gov,gu,37.221806481694124,0.00010033280860495365,0.02917241291878564,0.09657014348178314
bible,gov,25,gov,hi,34.84149011071474,-1.951309122252216e-05,0.04665736554424557,0.15432898550578728
bible,gov,25,gov,si,46.26763259278872,0.0007135443626499275,0.0007482817597399452,0.002497542717717667
bible,gov,25,gov,ta,37.95133783533487,0.0008317675093524438,0.09415040527215544,0.3164079921136308
bible,gov,50,flores,hi,18.72125692422429,0.0009351197991213854,0.06946524814070316,0.23094010767583717
bible,gov,50,flores,si,12.1606089310718,0.0007215027310054412,0.03479197467049294,0.11547005383792576
bible,gov,50,flores,ta,10.870035361499031,0.0017323918842744497,0.10020106893856699,0.34632853036837097
bible,gov,50,bible,hi,9.698418414853954,0.010089956890437629,0.631245230674936,2.811878972076901
bible,gov,50,bible,si,10.230339588434662,0.00802850885376015,0.4433503892950202,1.822251649442887
bible,gov,50,bible,ta,8.834133988219664,0.007289684804531732,0.2146597455342254,0.8377331394681024
