train set 1,train set 1 size,train set 1 jsd,train set 2,train set 2 size,train set 2 jsd,language from,language to,test set,sp-BLEU,geographic,genetic,syntactic,phonological,inventory,featural
cc_align,100,0.4753253314,gov,10,0.5862679524,en,ta,bible,3.3,0.4,1.0,0.71,0.5687,0.5014,0.6
cc_align,100,0.3615441627,gov,10,0.1047547461,en,ta,gov,35.7,0.4,1.0,0.71,0.5687,0.5014,0.6
cc_align,100,0.38321367,gov,25,0.3343570052,en,ka,flores,16.2,0.4,1.0,0.64,0.3498,0.4738,0.5
cc_align,100,0.5519190464,gov,25,0.5157717627,en,ka,bible,2.2,0.4,1.0,0.64,0.3498,0.4738,0.5
cc_align,100,0.4166810068,gov,25,0.1431556172,en,ka,gov,34.5,0.4,1.0,0.64,0.3498,0.4738,0.5
cc_align,100,0.370302209,gov,25,0.3335072663,en,gu,flores,21.2,0.3,0.9,0.68,0.5687,0.4753,0.6
cc_align,100,0.5463004259,gov,25,0.5183596628,en,gu,bible,4.9,0.3,0.9,0.68,0.5687,0.4753,0.6
cc_align,100,0.4291804164,gov,25,0.1699216564,en,gu,gov,38.3,0.3,0.9,0.68,0.5687,0.4753,0.6
cc_align,100,0.3514577685,gov,25,0.3360772729,en,hi,flores,19.5,0.4,0.9,0.59,0.3433,0.4684,0.5
cc_align,100,0.4803553839,gov,25,0.5194551817,en,hi,bible,4.3,0.4,0.9,0.59,0.3433,0.4684,0.5
cc_align,100,0.3916207028,gov,25,0.1423219382,en,hi,gov,35.9,0.4,0.9,0.59,0.3433,0.4684,0.5
cc_align,100,0.3777435012,gov,25,0.4015966033,en,si,flores,13.8,0.4,0.9,0.78,0.4121,0.4991,0.6
cc_align,100,0.5332205864,gov,25,0.586522217,en,si,bible,2.9,0.4,0.9,0.78,0.4121,0.4991,0.6
cc_align,100,0.3321494652,gov,25,0.09733325817,en,si,gov,47.4,0.4,0.9,0.78,0.4121,0.4991,0.6
cc_align,100,0.3391480635,gov,25,0.3965274658,en,ta,flores,12.7,0.4,1.0,0.71,0.5687,0.5014,0.6
cc_align,100,0.4753253314,gov,25,0.5831242241,en,ta,bible,4.0,0.4,1.0,0.71,0.5687,0.5014,0.6
cc_align,100,0.3615441627,gov,25,0.09733325817,en,ta,gov,39.3,0.4,1.0,0.71,0.5687,0.5014,0.6
cc_align,100,0.3514577685,gov,50,0.3349295165,en,hi,flores,22.2,0.4,0.9,0.59,0.3433,0.4684,0.5
cc_align,100,0.4803553839,gov,50,0.5193833641,en,hi,bible,4.7,0.4,0.9,0.59,0.3433,0.4684,0.5
cc_align,100,0.3916207028,gov,50,0.1423672441,en,hi,gov,37.0,0.4,0.9,0.59,0.3433,0.4684,0.5
cc_align,100,0.3777435012,gov,50,0.3989119558,en,si,flores,14.9,0.4,0.9,0.78,0.4121,0.4991,0.6
cc_align,100,0.5332205864,gov,50,0.5858465013,en,si,bible,3.7,0.4,0.9,0.78,0.4121,0.4991,0.6
cc_align,100,0.3321494652,gov,50,0.09518148614,en,si,gov,50.5,0.4,0.9,0.78,0.4121,0.4991,0.6
cc_align,100,0.3391480635,gov,50,0.3933524284,en,ta,flores,14.6,0.4,1.0,0.71,0.5687,0.5014,0.6
cc_align,100,0.4753253314,gov,50,0.5825626895,en,ta,bible,4.3,0.4,1.0,0.71,0.5687,0.5014,0.6
cc_align,100,0.3615441627,gov,50,0.09518148614,en,ta,gov,41.2,0.4,1.0,0.71,0.5687,0.5014,0.6
